month,depth,temperature,salinity,density,oxygen
Jan,1310,5.01913076923077,35.0562461538462,27.7333004439127,238.947538461539
Jan,1320,4.98638461538462,35.0547384615385,27.7359678869004,239.758384615385
Jan,1330,4.95545384615385,35.0530923076923,27.7383001034112,240.445615384615
Jan,1340,4.92516923076923,35.0515692307692,27.7406177341842,241.212846153846
Jan,1350,4.89601538461539,35.0503153846154,27.7430253134777,241.931307692308
Jan,1360,4.87191025641026,35.0503051282051,27.7458633099811,242.499615384615
Jan,1370,4.84257692307692,35.0489076923077,27.7481704646892,243.084384615385
Jan,1380,4.81696923076923,35.0475461538462,27.750086705143,243.697307692308
Jan,1390,4.78523076923077,35.0452384615385,27.7519352973702,244.360076923077
Jan,1400,4.76117115384615,35.0441865384615,27.7539049930628,245.015711538462
Jan,1410,4.72739166666667,35.0419166666667,27.7559560222997,245.6335
Jan,1420,4.71193913043478,35.041147826087,27.7571854650192,245.988347826087
Jan,1430,4.67519275362319,35.0375623188406,27.7585141383934,246.704347826087
Jan,1440,4.64206956521739,35.0346,27.7599328171029,247.45547826087
Jan,1450,4.6170347826087,35.0326173913044,27.7612296457776,247.966
Jan,1460,4.59453043478261,35.0310956521739,27.7625945096644,248.432608695652
Jan,1470,4.56811304347826,35.0293304347826,27.7641895502061,249.035043478261
Jan,1480,4.54370434782609,35.0274086956522,27.7654507955813,249.521652173913
Jan,1490,4.52391304347826,35.0264695652174,27.7669617801742,249.991043478261
Jan,1500,4.50646376811594,35.025347826087,27.768037275966,250.324347826087
Feb,0,20.1973767123288,36.6767876712329,25.9906478491095,222.355547945205
Feb,10,20.1230285947712,36.6657037581699,26.0023650371916,222.03208699187
Feb,20,20.1011248780488,36.6645395121951,26.0078190178137,222.057058252427
Feb,30,20.0860653658537,36.6631990243902,26.0113407201084,222.044485436893
Feb,40,20.0678224390244,36.6621375609756,26.0159377380038,221.879689320388
Feb,50,20.0454631067961,36.6613838187702,26.0218229583096,221.629660194175
Feb,60,20.028740776699,36.6601417475728,26.0258800559272,221.385359223301
Feb,70,20.0075689320388,36.6578533980583,26.0303317388669,221.15
Feb,80,19.991067961165,36.6571300970874,26.0347085115126,220.799883495146
Feb,90,19.9726514563107,36.6562893203884,26.0394807474849,220.520533980583
Feb,100,19.9497883495146,36.655827184466,26.0457307192956,220.17954368932
Feb,110,19.923913592233,36.6555087378641,26.0528925708769,219.612087378641
Feb,120,19.8845466019417,36.6537436893204,26.0625468084802,218.923601941748
Feb,130,19.8150563106796,36.6516621359223,26.0800050545777,217.506466019417
Feb,140,19.708144012945,36.6486365695793,26.1065639188571,215.242265372168
Feb,150,19.5742660194175,36.6431747572816,26.1381072124402,212.566300970874
Feb,160,19.4380917874396,36.6351954911433,26.1680618169458,210.208589371981
Feb,170,19.3009729468599,36.627161352657,26.1981681811294,208.106376811594
Feb,180,19.1577111111111,36.6185265700483,26.2292654357617,206.154647342995
Feb,190,19.0409188405797,36.6113516908213,26.2544669405456,204.80090821256
Feb,200,18.9437207729469,36.6052289855073,26.2753263917833,203.903758454106
Feb,210,18.8431236714976,36.599154368932,26.296658332223,203.339101449275
Feb,220,18.7568811594203,36.5935514563107,26.315099092941,203.068531400966
Feb,230,18.6829903381643,36.5889922330097,26.331086098374,202.885739130435
Feb,240,18.615347826087,36.5847786407767,26.3456728470529,202.929623188406
Feb,250,18.5590048309179,36.5812038834952,26.3577860565733,202.957719806763
Feb,260,18.5019499194847,36.5770509708738,26.3696241622774,202.829054750403
Feb,270,18.4504753623188,36.5733388349515,26.3803453450034,202.678357487923
Feb,280,18.4028057971015,36.5695699029126,26.3900047834098,202.477980676329
Feb,290,18.3544541062802,36.5652058252427,26.3993502792206,202.196850241546
