type,date,year,month,day,observation_number,track,latitude,longitude,amplitude,speed_average,effective_radius,lat_origin,long_origin
cyclonic,1996-08-06,1996,8,6,101,100180,28.1117444471879,-65.468017578125,0.0258,0.139772727272727,0.443253416250716,27.8138389587402,-63.13818359375
cyclonic,1996-04-29,1996,4,29,1,100246,31.8178876241048,-63.9837036132813,0.0102666666666667,0.0781333333333333,0.422742274227423,31.8955192565918,-63.9981079101563
cyclonic,1996-05-16,1996,5,16,18,100246,31.4725730034613,-63.9721394200479,0.0326225806451613,0.137274193548387,0.520760140530182,31.8955192565918,-63.9981079101563
cyclonic,1996-06-08,1996,6,8.5,41.5,100246,31.0576971769333,-63.5828323364258,0.0335875,0.156775,0.458314581458146,31.8955192565918,-63.9981079101563
cyclonic,1996-04-30,1996,4,30,0,100408,30.1397190093994,-66.0633239746094,0.0125,0.1067,0.274977497749775,30.1397190093994,-66.0633239746094
cyclonic,1996-05-08,1996,5,8.5,8.5,100408,30.3840754032135,-66.3831291198731,0.02125,0.112925,0.416038478847885,30.1397190093994,-66.0633239746094
cyclonic,1996-05-09,1996,5,9.5,8.5,100482,30.3925881915622,-67.9682871500651,0.0196222222222222,0.0972444444444445,0.468671867186719,30.6778335571289,-67.6289978027344
cyclonic,1996-05-17,1996,5,17,14,100650,28.5818538665772,-67.2643990352236,0.0884793103448276,0.281137931034483,0.768863093205872,28.6685657501221,-66.6397094726563
cyclonic,1996-06-15,1996,6,15.5,43.5,100650,28.5868289311727,-68.3871663411458,0.09516,0.2781,0.863936393639364,28.6685657501221,-66.6397094726563
cyclonic,1996-07-02,1996,7,2.5,60.5,100650,28.8896632194519,-69.1091461181641,0.025425,0.19485,0.410553555355536,28.6685657501221,-66.6397094726563
cyclonic,1996-05-17,1996,5,17.5,13.5,100723,35.3234071731567,-68.6430478777204,0.0337857142857143,0.198675,0.363218464703613,35.4301872253418,-67.3804321289063
cyclonic,1996-06-12,1996,6,12.5,39.5,100723,34.5720701217651,-70.1022478739421,0.0715583333333333,0.197929166666667,0.60724197419742,35.4301872253418,-67.3804321289063
cyclonic,1996-05-19,1996,5,19.5,11.5,101047,28.9372769196828,-59.5576006571452,0.02485,0.122508333333333,0.462158715871587,29.0765895843506,-59.2346801757813
cyclonic,1996-06-06,1996,6,6,29,101047,29.0003077767112,-60.372314453125,0.0136181818181818,0.0939,0.531053105310531,29.0765895843506,-59.2346801757813
cyclonic,1996-07-14,1996,7,14,62,101472,35.327970404374,-55.0801680715461,0.0422263157894737,0.239784210526316,0.423634468710029,34.6143531799316,-50.2998962402344
cyclonic,1996-05-18,1996,5,18.5,4.5,101534,34.7117900848389,-56.9482666015625,0.20253,0.34598,1.39842484248425,34.6046714782715,-56.8427429199219
cyclonic,1996-05-22,1996,5,22.5,8.5,101546,35.1681995391846,-66.4164801703559,0.0655444444444445,0.1965,0.498399839983999,35.0029563903809,-66.3917236328125
cyclonic,1996-06-15,1996,6,15.5,32.5,101546,35.036233774821,-66.8313028971354,0.15852,0.312683333333333,0.817476747674768,35.0029563903809,-66.3917236328125
cyclonic,1996-07-16,1996,7,16,63,101546,33.8643610554357,-66.6436619912424,0.0628645161290323,0.220432258064516,0.513617490781336,35.0029563903809,-66.3917236328125
cyclonic,1996-08-16,1996,8,16,94,101546,32.8434176291189,-68.0658746534778,0.111551612903226,0.2561,0.830391103626492,35.0029563903809,-66.3917236328125
cyclonic,1996-09-15,1996,9,15.5,124.5,101546,33.3770500183106,-69.0287027994792,0.16128,0.286396666666667,1.03034803480348,35.0029563903809,-66.3917236328125
cyclonic,1996-10-16,1996,10,16,155,101546,33.9569085644138,-71.1014807916457,0.218196774193548,0.295674193548387,1.21647164716472,35.0029563903809,-66.3917236328125
cyclonic,1996-11-15,1996,11,15.5,185.5,101546,33.6403062184652,-72.5080678304037,0.193876666666667,0.378776666666667,0.932643264326433,35.0029563903809,-66.3917236328125
cyclonic,1996-12-08,1996,12,8,208,101546,32.5912223815918,-73.2508524576823,0.0415266666666667,0.265546666666667,0.330723072307231,35.0029563903809,-66.3917236328125
cyclonic,1996-05-22,1996,5,22.5,7.5,101599,32.4038510322571,-65.3093338012695,0.038325,0.1729375,0.39041404140414,32.4221382141113,-64.7279968261719
cyclonic,1996-05-21,1996,5,21,5,101675,29.4899061376398,-62.20932561701,0.00828181818181818,0.0779090909090909,0.320513869568775,29.5102653503418,-61.8670959472656
cyclonic,1996-05-24,1996,5,24,7,101755,31.4311426798503,-66.9457824707031,0.0208533333333333,0.118226666666667,0.412691269126913,31.4686012268066,-66.5614624023438
cyclonic,1996-06-01,1996,6,1.5,15.5,101755,31.3539190292358,-67.5140838623047,0.01465,0.11555,0.311206120612061,31.4686012268066,-66.5614624023438
cyclonic,1996-05-24,1996,5,24,7,101762,33.5406766255697,-69.6409322102865,0.0305066666666667,0.154313333333333,0.381038103810381,33.5748710632324,-69.33935546875
cyclonic,1996-06-02,1996,6,2,16,101762,33.7357508341471,-69.8293762207031,0.0248333333333333,0.113466666666667,0.40954095409541,33.5748710632324,-69.33935546875
cyclonic,1996-06-28,1996,6,28.5,36.5,102240,27.871976852417,-72.9592437744141,0.03525,0.2101,0.547367236723672,25.9447536468506,-72.0376586914063
cyclonic,1996-07-14,1996,7,14,52,102240,28.0816306361446,-73.456611915871,0.0807111111111111,0.313888888888889,0.61987865453212,25.9447536468506,-72.0376586914063
cyclonic,1996-05-27,1996,5,27.5,3.5,102308,27.9670324325562,-59.0424652099609,0.0105,0.0749375,0.313737623762376,28.0107860565186,-58.8614501953125
cyclonic,1996-06-03,1996,6,3.5,10.5,102308,27.8419488271078,-59.4176534016927,0.01845,0.106983333333333,0.455220522052205,28.0107860565186,-58.8614501953125
cyclonic,1996-05-29,1996,5,29,2,102556,35.3801681518555,-57.7027038574219,0.0517,0.23512,0.424032403240324,35.337459564209,-57.5431213378906
cyclonic,1996-06-15,1996,6,15.5,19.5,102556,34.6099539438884,-58.781142171224,0.156513333333333,0.29326,1.03322832283228,35.337459564209,-57.5431213378906
cyclonic,1996-07-16,1996,7,16,50,102556,33.9489951595183,-60.9724760978453,0.191616129032258,0.36811935483871,1.04461252576871,35.337459564209,-57.5431213378906
cyclonic,1996-08-16,1996,8,16,81,102556,33.5045942491101,-62.8051885789441,0.148035483870968,0.376170967741936,0.969164658401324,35.337459564209,-57.5431213378906
cyclonic,1996-09-15,1996,9,15.5,111.5,102556,34.0260374704997,-63.3717203776042,0.23814,0.444553333333333,1.13654365436544,35.337459564209,-57.5431213378906
